,schoolyear,County,DistrictName,SchoolName,Percent
31,2014-15,Clallam,Cape Flattery School District,CLALLAM BAY HIGH & ELEMENTARY,
32,2014-15,Clallam,Quillayute Valley School District,FORKS ELEMENTARY SCHOOL,0.33333
33,2014-15,Clark,Vancouver School District,LINCOLN ELEMENTARY SCHOOL,0.26531
34,2014-15,Clark,Vancouver School District,HOUGH ELEMENTARY SCHOOL,0.79592
35,2014-15,Clark,Vancouver School District,FRUIT VALLEY ELEMENTARY SCHOOL,0.28571
36,2014-15,Clark,Vancouver School District,HARNEY ELEMENTARY SCHOOL,0.14754
37,2014-15,Clark,Vancouver School District,PETER S OGDEN ELEMENTARY,0.18519
38,2014-15,Clark,Vancouver School District,HAZEL DELL ELEMENTARY SCHOOL,0.3038
39,2014-15,Clark,Vancouver School District,MINNEHAHA ELEMENTARY SCHOOL,0.4
40,2014-15,Clark,Vancouver School District,WALNUT GROVE ELEMENTARY,0.27344
41,2014-15,Clark,Vancouver School District,SALMON CREEK ELEMENTARY,0.24
42,2014-15,Clark,Vancouver School District,SARAH J ANDERSON ELEMENTARY,0.49673
43,2014-15,Clark,Vancouver School District,LAKE SHORE ELEMENTARY,0.65672
44,2014-15,Clark,Vancouver School District,BENJAMIN FRANKLIN ELEMENTARY,0.50725
45,2014-15,Clark,Vancouver School District,GEORGE C MARSHALL ELEMENTARY,0.44444
46,2014-15,Clark,Vancouver School District,WASHINGTON ELEMENTARY,0.19149
47,2014-15,Clark,Vancouver School District,DWIGHT D EISENHOWER ELEMENTARY,0.34118
48,2014-15,Clark,Vancouver School District,MARTIN LUTHER KING ELEMENTARY,0.47126
49,2014-15,Clark,Vancouver School District,HARRY S TRUMAN ELEMENTARY SCHOOL,0.40449
50,2014-15,Clark,Vancouver School District,SACAJAWEA ELEMENTARY SCHOOL,0.47368
51,2014-15,Clark,Vancouver School District,FELIDA ELEMENTARY SCHOOL,0.85294
52,2014-15,Clark,Vancouver School District,CHINOOK ELEMENTARY SCHOOL,0.43564
53,2014-15,Clark,Vancouver School District,ROOSEVELT ELEMENTARY SCHOOL,0.13445
54,2014-15,,Green Mountain School District,GREEN MOUNTAIN SCHOOL,0.42857
55,2014-15,Clark,Washougal School District,HATHAWAY ELEMENTARY,0.57576
56,2014-15,Clark,Washougal School District,GAUSE ELEMENTARY,0.45833
57,2014-15,Clark,Washougal School District,CAPE HORN SKYE ELEMENTARY,0.78846
58,2014-15,Clark,Evergreen School District (Clark),MILL PLAIN ELEMENTARY SCHOOL,0.34066
59,2014-15,Clark,Evergreen School District (Clark),ORCHARDS ELEMENTARY SCHOOL,0.59574
60,2014-15,Clark,Evergreen School District (Clark),ELLSWORTH ELEMENTARY SCHOOL,0.32836
61,2014-15,Clark,Evergreen School District (Clark),SIFTON ELEMENTARY SCHOOL,0.1831
62,2014-15,Clark,Evergreen School District (Clark),MARRION ELEMENTARY SCHOOL,0.15254
63,2014-15,Clark,Evergreen School District (Clark),BURTON ELEMENTARY SCHOOL,0.21212
64,2014-15,Clark,Evergreen School District (Clark),CRESTLINE ELEMENTARY SCHOOL,0.41667
65,2014-15,Clark,Evergreen School District (Clark),SILVER STAR ELEMENTARY SCHOOL,0.41096
66,2014-15,Clark,Evergreen School District (Clark),SUNSET ELEMENTARY SCHOOL,0.39759
67,2014-15,Clark,Evergreen School District (Clark),FIRCREST ELEMENTARY SCHOOL,0.47143
68,2014-15,Clark,Evergreen School District (Clark),IMAGE ELEMENTARY SCHOOL,0.16832
69,2014-15,Clark,Evergreen School District (Clark),HEARTHWOOD ELEMENTARY SCHOOL,0.48
70,2014-15,Clark,Evergreen School District (Clark),PIONEER ELEMENTARY SCHOOL,0.18699
71,2014-15,Clark,Battle Ground School District,PLEASANT VALLEY PRIMARY,0.68421
72,2014-15,Columbia,Dayton School District,DAYTON ELEMENTARY SCHOOL,0.11111
73,2014-15,Cowlitz,Longview School District,KESSLER ELEMENTARY SCHOOL,0.28571
74,2014-15,Cowlitz,Longview School District,COLUMBIA VALLEY GARDEN ELEM SCHL,0.53226
75,2014-15,Cowlitz,Longview School District,SAINT HELENS ELEMENTARY,0.17949
76,2014-15,Cowlitz,Longview School District,OLYMPIC ELEMENTARY SCHOOL,0.17647
77,2014-15,Cowlitz,Longview School District,NORTHLAKE ELEMENTARY SCHOOL,0.16667
78,2014-15,Cowlitz,Longview School District,ROBERT GRAY ELEMENTARY,0.50725
79,2014-15,Cowlitz,Longview School District,COLUMBIA HEIGHTS ELEMENTARY,0.08824
80,2014-15,Cowlitz,Longview School District,MINT VALLEY ELEMENTARY,0.16901
81,2014-15,Cowlitz,Castle Rock School District,CASTLE ROCK ELEMENTARY,0.48276
82,2014-15,Cowlitz,Woodland School District,WOODLAND PRIMARY (CLOSED AFTER 2014-2015 SCHOOL YEAR),0.64029
83,2014-15,Cowlitz,Kelso School District,WALLACE ELEMENTARY,0.06383
84,2014-15,Cowlitz,Kelso School District,CATLIN ELEMENTARY,0.54545
85,2014-15,Cowlitz,Kelso School District,BARNES ELEMENTARY,0.08
86,2014-15,,Orondo School District,ORONDO ELEMENTARY AND MIDDLE SCHOOL,0.08333
87,2014-15,Douglas,Bridgeport School District,BRIDGEPORT ELEMENTARY,0.25676
88,2014-15,,Palisades School District,PALISADES ELEMENTARY SCHOOL,
89,2014-15,Douglas,Eastmont School District,ROCK ISLAND ELEMENTARY,0.25714
90,2014-15,Douglas,Eastmont School District,GRANT ELEMENTARY SCHOOL,0.32609
91,2014-15,Douglas,Eastmont School District,LEE ELEMENTARY,0.29245
92,2014-15,Douglas,Eastmont School District,KENROY ELEMENTARY,0.21333
93,2014-15,,Mansfield School District,MANSFIELD ELEM AND HIGH SCHOOL,
94,2014-15,Douglas,Waterville School District,WATERVILLE ELEMENTARY,0.85714
95,2014-15,Ferry,Curlew School District,CURLEW ELEM & HIGH SCHOOL,
96,2014-15,,Orient School District,ORIENT ELEMENTARY SCHOOL,
97,2014-15,Ferry,Inchelium School District,INCHELIUM ELEMENTARY SCHOOL,0.46154
98,2014-15,Ferry,Republic School District,REPUBLIC ELEMENTARY SCHOOL,0.5
99,2014-15,Franklin,Pasco School District,MARK TWAIN ELEMENTARY,0.29487
100,2014-15,Franklin,Pasco School District,WHITTIER ELEMENTARY,0.14286
101,2014-15,Franklin,North Franklin School District,CONNELL ELEM,0.1125
102,2014-15,Franklin,North Franklin School District,MESA ELEM,0.15
103,2014-15,Franklin,North Franklin School District,BASIN CITY ELEM,0.16667
104,2014-15,Grant,Wahluke School District,MATTAWA ELEMENTARY,0.33333
105,2014-15,Grant,Wahluke School District,MORRIS SCHOTT ELEMENTARY,0.26316
106,2014-15,Grant,Wahluke School District,SADDLE MOUNTAIN ELEMENTARY,0.01282
107,2014-15,Grant,Quincy School District,PIONEER ELEMENTARY,0.16505
108,2014-15,Grant,Quincy School District,MOUNTAIN VIEW ELEMENTARY,0.13761
109,2014-15,Grant,Quincy School District,GEORGE ELEMENTARY,0.15686
110,2014-15,Grant,Warden School District,WARDEN ELEMENTARY,0.15294
111,2014-15,Grant,Soap Lake School District,SOAP LAKE ELEMENTARY,0.56522
112,2014-15,Grant,Royal School District,RED ROCK ELEMENTARY,0.16234
113,2014-15,Grant,Moses Lake School District,PENINSULA ELEMENTARY,0.49057
114,2014-15,Grant,Moses Lake School District,KNOLLS VISTA ELEMENTARY,0.30556
115,2014-15,Grant,Moses Lake School District,LAKEVIEW TERRACE ELEMENTARY,0.56897
116,2014-15,Grant,Moses Lake School District,MIDWAY ELEMENTARY,0.44444
117,2014-15,Grant,Moses Lake School District,GARDEN HEIGHTS ELEMENTARY,0.41176
118,2014-15,Grant,Moses Lake School District,LONGVIEW ELEMENTARY,0.39063
119,2014-15,Grant,Moses Lake School District,NORTH ELEMENTARY,0.24561
120,2014-15,Grant,Ephrata School District,COLUMBIA RIDGE ELEMENTARY,0.33333
121,2014-15,Grant,Ephrata School District,GRANT ELEMENTARY,0.32877
122,2014-15,,Wilson Creek School District,WILSON CREEK ELEMENTARY,0.36364
123,2014-15,Grant,Grand Coulee Dam School District,LAKE ROOSEVELT ELEMENTARY,0.54348
124,2014-15,Grays Harbor,Aberdeen School District,MCDERMOTH ELEMENTARY,0.84
125,2014-15,Grays Harbor,Aberdeen School District,ROBERT GRAY ELEMENTARY,0.125
126,2014-15,Grays Harbor,Aberdeen School District,A J WEST ELEMENTARY,0.64179
127,2014-15,Grays Harbor,Aberdeen School District,STEVENS ELEMENTARY SCHOOL,0.44776
128,2014-15,Grays Harbor,Aberdeen School District,CENTRAL PARK ELEMENTARY,0.76
129,2014-15,Grays Harbor,Hoquiam School District,EMERSON ELEMENTARY,0.48333
130,2014-15,Grays Harbor,North Beach School District No. 64,PACIFIC BEACH ELEMENTARY SCHOOL,0.69565
131,2014-15,Grays Harbor,North Beach School District No. 64,OCEAN SHORES ELEMENTARY,0.92
132,2014-15,Grays Harbor,Elma School District,ELMA ELEMENTARY SCHOOL,0.5
133,2014-15,,Lake Quinault School District,LAKE QUINAULT SCHOOL,0.84615
134,2014-15,,Satsop School District,SATSOP ELEMENTARY,
135,2014-15,Grays Harbor,Ocosta School District,OCOSTA ELEMENTARY SCHOOL,0.43182
136,2014-15,Grays Harbor,Oakville School District,OAKVILLE ELEMENTARY,0.7
137,2014-15,Island,Oak Harbor School District,OLYMPIC VIEW ELEM,0.41121
138,2014-15,,Queets-Clearwater School District,QUEETS-CLEARWATER ELEMENTARY,
139,2014-15,,Brinnon School District,BRINNON ELEMENTARY,
140,2014-15,,Chimacum School District,CHIMACUM CREEK PRIMARY SCHOOL,0.47945
141,2014-15,King,Seattle School District No. 1,TOPS K-8 SCHOOL,0.81633
142,2014-15,King,Seattle School District No. 1,MADRONA K-5 SCHOOL,0.7
143,2014-15,King,Seattle School District No. 1,BEACON HILL INTERNATIONAL SCHOOL,0.50549
144,2014-15,King,Seattle School District No. 1,STEVENS ELEMENTARY SCHOOL,0.75
145,2014-15,King,Seattle School District No. 1,MARTIN LUTHER KING JR. ELEMENTARY SCHOOL,0.43182
146,2014-15,King,Seattle School District No. 1,EMERSON ELEMENTARY SCHOOL,0.27083
147,2014-15,King,Seattle School District No. 1,RISING STAR ELEMENTARY SCHOOL,0.26506
148,2014-15,King,Seattle School District No. 1,LESCHI ELEMENTARY SCHOOL,0.25806
149,2014-15,King,Seattle School District No. 1,GREENWOOD ELEMENTARY SCHOOL,0.69118
150,2014-15,King,Seattle School District No. 1,THURGOOD MARSHALL ELEMENTARY,0.31373
151,2014-15,King,Seattle School District No. 1,JOHN MUIR ELEMENTARY SCHOOL,0.37662
152,2014-15,King,Seattle School District No. 1,CONCORD INTERNATIONAL SCHOOL,0.24691
153,2014-15,King,Seattle School District No. 1,BROADVIEW-THOMSON K-8 SCHOOL,0.49333
154,2014-15,King,Seattle School District No. 1,HIGHLAND PARK ELEMENTARY SCHOOL,0.24561
155,2014-15,King,Seattle School District No. 1,BAILEY GATZERT ELEMENTARY SCHOOL,0.44068
156,2014-15,King,Seattle School District No. 1,DUNLAP ELEMENTARY SCHOOL,0.32759
157,2014-15,King,Seattle School District No. 1,MAPLE ELEMENTARY SCHOOL,0.62025
158,2014-15,King,Seattle School District No. 1,WEST SEATTLE ELEMENTARY SCHOOL,0.39437
159,2014-15,King,Seattle School District No. 1,OLYMPIC HILLS ELEMENTARY SCHOOL,0.5625
160,2014-15,King,Seattle School District No. 1,NORTHGATE ELEMENTARY SCHOOL,0.54762
161,2014-15,King,Seattle School District No. 1,ROXHILL ELEMENTARY SCHOOL,0.64286
162,2014-15,King,Seattle School District No. 1,GRAHAM HILL ELEMENTARY SCHOOL,0.60938
163,2014-15,King,Seattle School District No. 1,KIMBALL ELEMENTARY SCHOOL,0.6087
164,2014-15,King,Seattle School District No. 1,WING LUKE ELEMENTARY SCHOOL,0.33962
165,2014-15,King,Seattle School District No. 1,SANISLO ELEMENTARY SCHOOL,0.5283
166,2014-15,King,Seattle School District No. 1,LOWELL ELEMENTARY SCHOOL,0.75
167,2014-15,King,Seattle School District No. 1,DEARBORN PARK INTERNATIONAL SCHOOL,0.27692
168,2014-15,King,Seattle School District No. 1,SOUTH SHORE PK-8 SCHOOL,0.87037
169,2014-15,King,Seattle School District No. 1,HAWTHORNE ELEMENTARY SCHOOL,0.5
170,2014-15,King,Federal Way School District,MIRROR LAKE ELEMENTARY SCHOOL,0.49412
171,2014-15,King,Federal Way School District,STAR LAKE ELEMENTARY SCHOOL,0.43056
172,2014-15,King,Federal Way School District,PANTHER LAKE ELEMENTARY SCHOOL,0.51429
173,2014-15,King,Federal Way School District,OLYMPIC VIEW ELEMENTARY SCHOOL,0.33929
174,2014-15,King,Federal Way School District,ADELAIDE ELEMENTARY SCHOOL,0.32353
175,2014-15,King,Federal Way School District,CAMELOT ELEMENTARY SCHOOL,0.63043
176,2014-15,King,Federal Way School District,SUNNYCREST ELEMENTARY SCHOOL,0.51515
177,2014-15,King,Federal Way School District,LAKE GROVE ELEMENTARY SCHOOL,0.56364
178,2014-15,King,Federal Way School District,VALHALLA ELEMENTARY SCHOOL,0.16842
179,2014-15,King,Federal Way School District,WILDWOOD ELEMENTARY SCHOOL,0.27273
180,2014-15,King,Federal Way School District,NAUTILUS K-8 SCHOOL,0.62121
181,2014-15,King,Federal Way School District,MARK TWAIN ELEMENTARY SCHOOL,0.25316
182,2014-15,King,Federal Way School District,BRIGADOON ELEMENTARY SCHOOL,0.65957
183,2014-15,King,Federal Way School District,LAKE DOLLOFF ELEMENTARY SCHOOL,0.27692
184,2014-15,King,Federal Way School District,SILVER LAKE ELEMENTARY SCHOOL,0.38333
185,2014-15,King,Federal Way School District,RAINIER VIEW ELEMENTARY SCHOOL,0.12903
186,2014-15,King,Highline School District,MOUNT VIEW ELEMENTARY,0.54878
187,2014-15,King,Highline School District,DES MOINES ELEMENTARY,0.70588
188,2014-15,King,Highline School District,WHITE CENTER HEIGHTS ELEMENTARY,0.19753
189,2014-15,King,Highline School District,HAZEL VALLEY ELEMENTARY,0.32039
190,2014-15,King,Highline School District,MCMICKEN HEIGHTS ELEMENTARY,0.41111
191,2014-15,King,Highline School District,BEVERLY PARK ELEM AT GLENDALE,0.26582
192,2014-15,King,Highline School District,SHOREWOOD ELEMENTARY,0.51471
193,2014-15,King,Highline School District,GREGORY HEIGHTS ELEMENTARY,0.2549
194,2014-15,King,Highline School District,CEDARHURST ELEMENTARY,0.39
195,2014-15,King,Highline School District,BOW LAKE ELEMENTARY,0.64754
196,2014-15,King,Highline School District,NORTH HILL ELEMENTARY,0.62195
197,2014-15,King,Highline School District,MIDWAY ELEMENTARY,0.49057
198,2014-15,King,Highline School District,SOUTHERN HEIGHTS ELEMENTARY,0.37143
199,2014-15,King,Highline School District,MARVISTA ELEMENTARY,0.72174
200,2014-15,King,Highline School District,HILLTOP ELEMENTARY,0.27143
201,2014-15,King,Highline School District,MADRONA ELEMENTARY,0.39241
202,2014-15,King,Highline School District,PARKSIDE ELEMENTARY,0.38095
203,2014-15,King,Highline School District,SEAHURST ELEMENTARY SCHOOL,0.32955
204,2014-15,King,Renton School District,BRYN MAWR ELEMENTARY SCHOOL,0.2561
205,2014-15,King,Renton School District,HIGHLANDS ELEMENTARY SCHOOL,0.36082
206,2014-15,King,Renton School District,LAKERIDGE ELEMENTARY SCHOOL,0.34375
207,2014-15,King,Renton School District,CAMPBELL HILL ELEMENTARY SCHOOL,0.475
208,2014-15,Okanogan,Omak School District,PASCHAL SHERMAN,0.4
209,2014-15,King,Renton School District,CASCADE ELEMENTARY SCHOOL,0.44
210,2014-15,King,Renton School District,RENTON PARK ELEMENTARY SCHOOL,0.38235
211,2014-15,King,Renton School District,TIFFANY PARK ELEMENTARY SCHOOL,0.56338
212,2014-15,King,Bellevue School District,LAKE HILLS ELEMENTARY,0.21429
213,2014-15,King,Tukwila School District,CASCADE VIEW ELEMENTARY,0.19753
214,2014-15,King,Tukwila School District,TUKWILA ELEMENTARY,0.6338
215,2014-15,King,Tukwila School District,THORNDYKE ELEMENTARY,0.4382
216,2014-15,King,Auburn School District,DICK SCOBEE ELEMENTARY SCHOOL,0.25532
217,2014-15,King,Auburn School District,ILALKO ELEMENTARY SCHOOL,0.13725
218,2014-15,King,Kent School District,MERIDIAN ELEMENTARY SCHOOL,0.74257
219,2014-15,King,Kent School District,EAST HILL ELEMENTARY SCHOOL,0.18557
220,2014-15,King,Kent School District,SCENIC HILL ELEMENTARY SCHOOL,0.42424
221,2014-15,King,Kent School District,PARK ORCHARD ELEMENTARY SCHOOL,0.29268
222,2014-15,King,Kent School District,PINE TREE ELEMENTARY SCHOOL,0.43662
223,2014-15,King,Kent School District,CEDAR VALLEY ELEMENTARY SCHOOL,0.36111
224,2014-15,King,Kent School District,SPRINGBROOK ELEMENTARY SCHOOL,0.46154
225,2014-15,King,Kent School District,NEELY O BRIEN ELEMENTARY SCHOOL,0.59459
226,2014-15,King,Kent School District,GEORGE T. DANIEL ELEMENTARY SCHOOL,0.23469
227,2014-15,King,Kent School District,KENT ELEMENTARY SCHOOL,0.22059
228,2014-15,Kitsap,Bremerton School District,WEST HILLS S.T.E.M. ACADEMY,0.48315
229,2014-15,Kitsap,Bremerton School District,VIEW RIDGE ELEMENTARY ARTS ACADEMY,0.45349
230,2014-15,Kitsap,Bremerton School District,CROWNHILL ELEMENTARY SCHOOL,0.41935
231,2014-15,Kitsap,Bremerton School District,NAVAL AVENUE ELEMENTARY SCHOOL,0.28866
232,2014-15,Kitsap,Bremerton School District,ARMIN JAHR ELEMENTARY,0.55696
233,2014-15,Kitsap,Central Kitsap School District,WOODLANDS ELEMENTARY,0.28302
234,2014-15,Kitsap,South Kitsap School District,MULLENIX RIDGE ELEMENTARY SCHOOL,0.78261
235,2014-15,,Easton School District,EASTON SCHOOL,
236,2014-15,Kittitas,Kittitas School District,KITTITAS ELEMENTARY SCHOOL,0.29167
237,2014-15,,Wishram School District,WISHRAM HIGH AND ELEMENTARY SCHL,
238,2014-15,,Roosevelt School District,ROOSEVELT ELEMENTARY SCHOOL,
239,2014-15,Klickitat,Goldendale School District,GOLDENDALE PRIMARY SCHOOL,0.34426
240,2014-15,Klickitat,Lyle School District,DALLESPORT ELEMENTARY,0.26087
241,2014-15,Lewis,Mossyrock School District,MOSSYROCK ELEMENTARY SCHOOL,0.675
242,2014-15,Lewis,Morton School District,MORTON ELEMENTARY SCHOOL,0.81818
243,2014-15,Lewis,Winlock School District,WINLOCK MILLER ELEMENTARY,0.075
244,2014-15,,Boistfort School District,BOISTFORT ELEM,0.46667
245,2014-15,Lewis,Toledo School District,TOLEDO ELEMENTARY SCHOOL,0.53846
246,2014-15,Lewis,Onalaska School District,ONALASKA ELEMENTARY SCHOOL,0.38462
247,2014-15,,Pe Ell School District,PE ELL SCHOOL,0.80952
248,2014-15,Lewis,Chehalis School District,CASCADE ELEMENTARY SCHOOL (CLOSED AFTER 2017-2018 SCHOOL YEAR),0.57831
249,2014-15,,White Pass School District,WHITE PASS ELEMENTARY SCHOOL,0.80769
250,2014-15,Lewis,Centralia School District,EDISON ELEMENTARY,0.38824
251,2014-15,Lewis,Centralia School District,FORDS PRAIRIE ELEMENTARY,0.31
252,2014-15,Lewis,Centralia School District,JEFFERSON LINCOLN ELEMENTARY,0.27826
253,2014-15,,Creston School District,CRESTON ELEMENTARY,
254,2014-15,Lincoln,Davenport School District,DAVENPORT ELEMENTARY,0.88636
255,2014-15,Mason,Shelton School District,EVERGREEN ELEMENTARY SCHOOL,0.20909
256,2014-15,Mason,Shelton School District,BORDEAUX ELEMENTARY SCHOOL,0.30588
257,2014-15,Mason,Shelton School District,MOUNTAIN VIEW ELEMENTARY,0.47191
258,2014-15,,Mary M Knight School District,MARY M KNIGHT ELEMENTARY (CLOSED AFTER 2015-2016 SCHOOL YEAR),0.66667
259,2014-15,,Pioneer School District,PIONEER ELEMENTARY SCHOOL,0.47761
260,2014-15,Mason,North Mason School District,BELFAIR ELEMENTARY,0.67213
261,2014-15,Mason,North Mason School District,SAND HILL ELEMENTARY,0.41667
262,2014-15,,Hood Canal School District,HOOD CANAL ELEMENTARY SCHOOL,0.76667
263,2014-15,,Nespelem School District,NESPELEM ELEMENTARY,1
264,2014-15,Okanogan,Omak School District,N OMAK ELEMENTARY,0.53125
265,2014-15,Okanogan,Okanogan School District,GRAINGER ELEMENTARY,0.46667
266,2014-15,Okanogan,Brewster School District,BREWSTER ELEMENTARY SCHOOL,0.1413
267,2014-15,Okanogan,Pateros School District,PATEROS ELEMENTARY,0.5
268,2014-15,Okanogan,Tonasket School District,TONASKET ELEMENTARY SCHOOL,0.32941
269,2014-15,Okanogan,Oroville School District,OROVILLE ELEMENTARY,0.38298
270,2014-15,Pacific,Ocean Beach School District,LONG BEACH ELEMENTARY SCHOOL,0.4375
271,2014-15,Pacific,Ocean Beach School District,OCEAN PARK ELEMENTARY,0.48148
272,2014-15,Pacific,Raymond School District,RAYMOND ELEMENTARY SCHOOL,0.32143
273,2014-15,Pacific,South Bend School District,MIKE MORRIS ELEMENTARY,0.44737
274,2014-15,Pacific,Willapa Valley School District,WILLAPA ELEMENTARY,0.57143
275,2014-15,Pend Oreille,Newport School District,STRATTON ELEMENTARY,0.48649
276,2014-15,Pend Oreille,Cusick School District,BESS HERIAN ELEMENTARY,0.38889
277,2014-15,Pierce,Puyallup School District,STEWART ELEMENTARY,0.83784
278,2014-15,Pierce,Puyallup School District,MEEKER ELEMENTARY,0.65217
279,2014-15,Pierce,Puyallup School District,WALLER ROAD ELEMENTARY,0.48649
280,2014-15,Pierce,Puyallup School District,FIRGROVE ELEMENTARY,0.44872
281,2014-15,Pierce,Puyallup School District,SPINNING ELEMENTARY,0.4717
282,2014-15,Pierce,Puyallup School District,MAPLEWOOD ELEMENTARY,0.78
283,2014-15,Pierce,Puyallup School District,WOODLAND ELEMENTARY,0.47727
284,2014-15,Pierce,Puyallup School District,KARSHNER ELEMENTARY,0.40476
285,2014-15,Pierce,Puyallup School District,FRUITLAND ELEMENTARY,0.33333
286,2014-15,Pierce,Puyallup School District,WILDWOOD ELEMENTARY,0.66
287,2014-15,Pierce,Puyallup School District,MT VIEW ELEMENTARY,0.72093
288,2014-15,Pierce,Puyallup School District,SUNRISE ELEMENTARY,0.65333
289,2014-15,Pierce,Puyallup School District,NORTHWOOD ELEMENTARY,0.67347
290,2014-15,Pierce,Puyallup School District,RIDGECREST ELEMENTARY,0.62651
291,2014-15,Pierce,Puyallup School District,POPE ELEMENTARY,0.32394
292,2014-15,Pierce,Puyallup School District,WARREN HUNT ELEM,0.46341
293,2014-15,Pierce,Puyallup School District,FRANK BROUILLET ELEM,0.65116
294,2014-15,Pierce,Puyallup School District,SHAW ROAD ELEMENTARY,0.68
295,2014-15,Pierce,Puyallup School District,EDWARD ZEIGER ELEM,0.44538
296,2014-15,Pierce,Tacoma School District,LARCHMONT ELEMENTARY SCHOOL,0.54717
297,2014-15,Pierce,Tacoma School District,WASHINGTON ELEMENTARY SCHOOL,0.90625
298,2014-15,Pierce,Tacoma School District,BLIX ELEMENTARY SCHOOL,0.38095
299,2014-15,Pierce,Tacoma School District,JEFFERSON ELEMENTARY SCHOOL,0.69231
300,2014-15,Pierce,Tacoma School District,FRANKLIN ELEMENTARY SCHOOL,0.5098
301,2014-15,Pierce,Tacoma School District,FERN HILL ELEMENTARY SCHOOL,0.5283
302,2014-15,Pierce,Tacoma School District,SHERIDAN ELEMENTARY SCHOOL,0.23469
303,2014-15,Pierce,Tacoma School District,POINT DEFIANCE ELEMENTARY SCHOOL,0.59649
304,2014-15,Pierce,Tacoma School District,N.E. TACOMA ELEMENTARY SCHOOL,0.27941
305,2014-15,Pierce,Tacoma School District,MANITOU PARK ELEMENTARY SCHOOL,0.38462
306,2014-15,Pierce,Tacoma School District,ROOSEVELT ELEMENTARY SCHOOL,0.09524
307,2014-15,Pierce,Tacoma School District,LYON ELEMENTARY SCHOOL,0.36111
308,2014-15,Pierce,Tacoma School District,GEIGER MONTESSORI SCHOOL,0.76471
309,2014-15,Pierce,Tacoma School District,DOWNING ELEMENTARY SCHOOL,0.56098
310,2014-15,Pierce,Tacoma School District,LISTER ELEMENTARY SCHOOL,0.14865
311,2014-15,Pierce,Tacoma School District,FAWCETT ELEMENTARY SCHOOL,0.72414
312,2014-15,Pierce,Tacoma School District,LOWELL ELEMENTARY SCHOOL,0.82609
313,2014-15,Pierce,Tacoma School District,REED ELEMENTARY SCHOOL,0.73626
314,2014-15,Pierce,Tacoma School District,EDISON ELEMENTARY SCHOOL,0.39241
315,2014-15,Pierce,Tacoma School District,BROWNS POINT ELEMENTARY SCHOOL,0.65217
316,2014-15,Pierce,Tacoma School District,WHITMAN ELEMENTARY SCHOOL,0.41026
317,2014-15,Pierce,Tacoma School District,SHERMAN ELEMENTARY SCHOOL,0.90141
318,2014-15,Pierce,Tacoma School District,DELONG ELEMENTARY SCHOOL,0.45783
319,2014-15,Pierce,Tacoma School District,ARLINGTON ELEMENTARY SCHOOL,0.4
